1,1,25.358,21.167,10.000,10.000,1.000,-1,-1,-1
1,2,38.919,31.393,10.000,10.000,1.000,-1,-1,-1
2,1,25.995,21.752,10.000,10.000,1.000,-1,-1,-1
2,2,39.335,31.352,10.000,10.000,1.000,-1,-1,-1
3,1,26.632,22.338,10.000,10.000,1.000,-1,-1,-1
3,2,39.750,31.310,10.000,10.000,1.000,-1,-1,-1
4,1,27.269,22.923,10.000,10.000,1.000,-1,-1,-1
4,2,40.166,31.268,10.000,10.000,1.000,-1,-1,-1
5,1,27.906,23.509,10.000,10.000,1.000,-1,-1,-1
5,2,40.581,31.226,10.000,10.000,1.000,-1,-1,-1
6,1,28.543,24.094,10.000,10.000,1.000,-1,-1,-1
6,2,40.997,31.184,10.000,10.000,1.000,-1,-1,-1
7,1,29.180,24.680,10.000,10.000,1.000,-1,-1,-1
7,2,41.413,31.143,10.000,10.000,1.000,-1,-1,-1
8,1,29.817,25.265,10.000,10.000,1.000,-1,-1,-1
8,2,41.828,31.101,10.000,10.000,1.000,-1,-1,-1
9,1,30.454,25.850,10.000,10.000,1.000,-1,-1,-1
9,2,42.244,31.059,10.000,10.000,1.000,-1,-1,-1
10,1,31.091,26.436,10.000,10.000,1.000,-1,-1,-1
10,2,42.659,31.017,10.000,10.000,1.000,-1,-1,-1
11,1,31.729,27.021,10.000,10.000,1.000,-1,-1,-1
11,2,43.075,30.976,10.000,10.000,1.000,-1,-1,-1
12,1,32.366,27.607,10.000,10.000,1.000,-1,-1,-1
12,2,43.491,30.934,10.000,10.000,1.000,-1,-1,-1
13,11,19.543,6.919,10.000,10.000,1.000,-1,-1,-1
13,12,8.730,14.141,10.000,10.000,1.000,-1,-1,-1
14,11,19.269,7.541,10.000,10.000,1.000,-1,-1,-1
14,12,9.114,14.639,10.000,10.000,1.000,-1,-1,-1
15,11,18.995,8.163,10.000,10.000,1.000,-1,-1,-1
15,12,9.497,15.136,10.000,10.000,1.000,-1,-1,-1
16,11,18.721,8.785,10.000,10.000,1.000,-1,-1,-1
16,12,9.880,15.634,10.000,10.000,1.000,-1,-1,-1
17,11,18.447,9.407,10.000,10.000,1.000,-1,-1,-1
17,12,10.263,16.132,10.000,10.000,1.000,-1,-1,-1
18,11,18.173,10.029,10.000,10.000,1.000,-1,-1,-1
18,12,10.646,16.629,10.000,10.000,1.000,-1,-1,-1
19,11,17.899,10.650,10.000,10.000,1.000,-1,-1,-1
